Item;Loc;Item;Issue_Manuf;Issue_CMG;Local code;Item descr;DRPCovDur;MinDRPQty;IncDRPQty;ProdMinQty; ProdIncQty; ProdMaxQty;SSCov;Projection Columns;21.03.22 12;01.04.22 13;01.05.22 17;01.06.22 22;01.07.22 26;01.08.22 31;01.09.22 35;01.10.22 39;01.11.22 44;01.12.22 48;01.01.22 52;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;SchedRcpts;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;PlanOrders;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;FirmPlanOrder;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;PlanArriv;0;0;0;0;0;0;0;0;0;0;32;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;RecArriv;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;SupsdProjOH;0;0;-86;236;217;168;144;96;74;30;24;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;ProjOH;0;0;-86;236;217;168;144;96;74;30;24;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;ConstrProjOH;0;0;-86;236;217;168;144;96;74;30;24;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;ConstrProxySupply;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;SupsdConstrProjOh;0;0;-86;236;217;168;144;96;74;30;24;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;AltConstrPOH;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;****   SS   ****;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;CovDur;;;;224D19H12M;194D19H12M;163D19H12M;132D19H12M;102D19H12M;71D19H12M;41D19H12M;10D19H12M;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;ConstrCovDur;;;;224D19H12M;194D19H12M;163D19H12M;132D19H12M;102D19H12M;71D19H12M;41D19H12M;10D19H12M;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;AltConstrCovDur;;;;;;;;;;;;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;TotDmd;0;756;0;756;0;0;756;0;756;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;AdjAllocTotFcst;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;FcstCustOrders;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;NonFcstCustOrders;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;DepDmd;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;CONFSHIPOUT;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;ProxyDemand;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;PlanShip;0;756;0;756;0;0;756;0;756;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;RecShip;0;1,605;0;0;0;0;808;0;808;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;TotSupply;0;1,605;0;0;0;808;0;0;808;0;404;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;Inventory;0;393;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;ActualIntransIn;0;1,212;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;CommitIntransIn;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;ProxySupply;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;SchedRcpts;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;PlanOrders;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;FirmPlanOrder;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;PlanArriv;0;0;0;0;0;808;0;0;808;0;404;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;RecArriv;0;0;0;0;0;0;808;0;808;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;SupsdProjOH;0;0;849;849;93;93;901;145;145;197;197;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;ProjOH;0;0;849;849;93;93;901;145;145;197;197;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;ConstrProjOH;0;0;849;849;93;93;93;145;145;197;197;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;ConstrProxySupply;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;SupsdConstrProjOh;0;0;849;849;93;93;93;145;145;197;197;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;AltConstrPOH;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;****   SS   ****;0;0;0;0;0;0;0;0;0;0;0;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;CovDur;;;124D23H59M;93D23H59M;63D23H59M;32D23H59M;85D23H59M;55D23H59M;24D23H59M;70D12H57M;39D12H57M;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;ConstrCovDur;;;124D23H59M;93D23H59M;63D23H59M;32D23H59M;1D23H59M;55D23H59M;24D23H59M;70D12H57M;39D12H57M;
F1211201;627MF;F1211201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 6MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;AltConstrCovDur;;;;;;;;;;;;
F1231201;627MF;F1231201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 12MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;TotDmd;0;2,222;2,020;2,222;2,222;2,222;2,222;2,222;2,020;2,424;0;
F1231201;627MF;F1231201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 12MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;AdjAllocTotFcst;0;0;0;0;0;0;0;0;0;0;0;
F1231201;627MF;F1231201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 12MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;FcstCustOrders;0;0;0;0;0;0;0;0;0;0;0;
F1231201;627MF;F1231201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 12MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;NonFcstCustOrders;0;0;0;0;0;0;0;0;0;0;0;
F1231201;627MF;F1231201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 12MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;DepDmd;0;0;0;0;0;0;0;0;0;0;0;
F1231201;627MF;F1231201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 12MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;CONFSHIPOUT;0;0;0;0;0;0;0;0;0;0;0;
F1231201;627MF;F1231201;"&nbsp;";"&nbsp;"; ;SAIZEN LIQUID 12MG (1) - BRA;1D;202;202;"&nbsp;";"&nbsp;";"&nbsp;";;ProxyDemand;0;0;0;0;0;0;0;0;0;0;0;
